                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.6168,                 1.6493,                 1.6517,                0.44772,                0.56382,                0.48619,                0.20815,                 1.9192,                 2.0232,                 1.9692,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.6031,                 1.6653,                 1.5772,                0.55056,                0.42261,                0.48997,                0.20598,                  1.737,                 2.0025,                   1.86,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.5187,                 1.6247,                 1.6099,                0.60988,                0.45539,                 0.4987,                0.20813,                  1.655,                 2.0147,                  1.829,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.4985,                 1.5893,                 1.5696,                0.52395,                0.53969,                0.48572,                0.21985,                 1.8161,                 1.9244,                 1.9001,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.5262,                 1.6147,                 1.6124,                0.49962,                0.56478,                0.49864,                0.22591,                 1.6816,                  1.961,                   1.82,             0.00080883,             0.00080883,             0.00080883
                     54,                  1.513,                 1.5837,                 1.5838,                0.54467,                0.45707,                0.48542,                0.21833,                 1.7824,                 2.0489,                 1.8778,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.5454,                 1.6487,                 1.6223,                 0.5192,                0.44212,                0.47192,                0.21645,                 1.6652,                 1.9406,                 1.8185,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.5465,                 1.6043,                 1.6474,                0.44727,                0.45258,                0.42712,                0.20152,                 1.7385,                 2.0191,                 1.8776,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.5183,                 1.5542,                 1.5751,                0.58826,                0.45287,                0.46785,                0.21141,                 1.6584,                 1.9582,                 1.8387,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.4842,                 1.6159,                 1.6225,                0.63159,                0.41746,                0.48093,                0.20669,                 1.7391,                 1.9095,                 1.8829,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.5079,                  1.503,                 1.5309,                0.56728,                0.41353,                0.46315,                0.19952,                 1.7369,                 1.9687,                 1.8818,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.5214,                  1.556,                  1.634,                0.54784,                0.43288,                0.45954,                0.19837,                 1.8658,                 1.9364,                 1.9185,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.4631,                 1.4712,                 1.5547,                0.50199,                 0.5012,                0.46423,                 0.1838,                 1.8127,                 1.9662,                 1.9086,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.4311,                 1.5149,                 1.5082,                0.45926,                0.49664,                0.44122,                0.18995,                 1.7507,                 2.0884,                  1.921,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.4266,                 1.4976,                 1.5633,                0.55177,                0.45268,                0.44948,                0.20539,                 1.7502,                 2.0693,                 1.9102,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.4179,                 1.4874,                 1.4954,                0.53286,                0.49199,                0.48143,                0.22026,                 1.7112,                 1.8888,                 1.8851,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.4644,                 1.4792,                 1.6083,                0.51155,                0.48709,                0.48332,                0.21481,                 1.7163,                 1.8979,                 1.8688,             0.00061079,             0.00061079,             0.00061079
