                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2777,                 1.0489,                 1.1671,                0.52448,                0.37981,                0.40787,                0.17623,                 1.9345,                 2.5518,                 1.6897,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3313,                 1.0627,                 1.2127,                0.52353,                0.41081,                 0.4395,                0.19187,                 2.0249,                 2.4886,                 1.7062,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2287,                 1.0178,                 1.1644,                0.55503,                0.40385,                0.43167,                0.19165,                 1.9098,                 2.2461,                 1.6528,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2302,                 1.0504,                 1.1655,                0.41575,                0.52564,                0.42177,                0.19109,                 1.8591,                 2.0819,                 1.6256,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2142,                0.97978,                 1.1613,                0.44313,                0.49613,                0.44057,                0.19423,                  1.807,                 1.9776,                 1.5958,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1752,                0.96389,                 1.1265,                0.42156,                0.49538,                 0.4242,                0.18568,                 1.7885,                 2.0382,                 1.5674,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.2088,                0.95154,                  1.176,                0.44295,                0.45635,                0.42799,                0.19686,                 1.8492,                 2.2473,                 1.6162,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1798,                0.96254,                  1.122,                0.58213,                0.38414,                0.44398,                 0.1897,                 1.8496,                 2.1842,                 1.6537,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.2204,                0.94856,                 1.1416,                0.47076,                0.42845,                 0.3623,                0.14093,                 1.8639,                  2.237,                 1.7301,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1549,                0.97781,                  1.145,                0.52444,                0.41874,                0.41355,                0.18686,                 2.0085,                 2.1028,                 1.7707,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1942,                  1.041,                 1.1667,                0.55624,                0.40739,                0.42218,                0.19375,                 1.8781,                 2.1808,                 1.6243,             0.00054478,             0.00054478,             0.00054478
                     70,                  1.137,                 1.0732,                 1.1537,                0.49855,                0.43835,                 0.4287,                0.18881,                 1.8271,                 2.1957,                 1.5939,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1363,                0.86702,                 1.1227,                0.41966,                0.44825,                0.39513,                0.16932,                  1.872,                 2.2456,                 1.6398,             0.00051177,             0.00051177,             0.00051177
                     72,                  1.097,                0.85261,                 1.1035,                0.49505,                 0.3849,                0.41164,                0.18279,                 1.9414,                 2.2975,                 1.7288,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1062,                0.84166,                 1.0939,                0.48413,                0.40143,                 0.4206,                0.18921,                 1.9864,                 2.2109,                 1.7334,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1308,                0.84911,                 1.1274,                0.57902,                0.37981,                0.42667,                0.19105,                  1.888,                 2.0758,                 1.6717,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.1255,                0.89193,                 1.1219,                0.48692,                0.43345,                0.44602,                0.19321,                 1.8983,                 2.2039,                 1.6963,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0394,                0.77461,                 1.0626,                0.36619,                0.52064,                0.41292,                0.18384,                 1.9274,                 2.2673,                 1.6859,             0.00042925,             0.00042925,             0.00042925
                     77,                  1.054,                0.79348,                 1.0765,                0.43776,                0.45792,                0.41331,                0.18637,                 1.9815,                 2.4228,                 1.7171,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.1074,                0.95439,                 1.1316,                0.59822,                0.38047,                0.40658,                0.18493,                  1.965,                 2.3457,                 1.6982,             0.00039625,             0.00039625,             0.00039625
                     79,                0.99908,                0.73662,                 1.0533,                0.49152,                0.45767,                0.40238,                0.17752,                 1.9086,                 2.2781,                 1.6652,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1023,                0.80806,                 1.0869,                0.44073,                0.47257,                0.42217,                0.18581,                 2.0061,                 2.4425,                 1.7514,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0442,                  0.771,                 1.0727,                0.42214,                 0.5016,                0.42894,                0.18202,                 2.0666,                 2.5093,                 1.8109,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0266,                0.74639,                 1.0601,                0.43224,                0.45767,                0.42144,                0.17488,                  1.998,                 2.5258,                 1.7668,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0014,                0.71837,                 1.0533,                0.43793,                0.50632,                0.42081,                0.17389,                 1.9579,                 2.4043,                 1.7141,             0.00031373,             0.00031373,             0.00031373
